[root@dhcp1 ~]# ss -tulnw
Netid                   State                    Recv-Q                   Send-Q                                      Local Address:Port                                        Peer Address:Port                   Process                   
icmp6                   UNCONN                   0                        0                                                       *:58                                                     *:*                                                
udp                     UNCONN                   0                        0                                                 0.0.0.0:54868                                            0.0.0.0:*                                                
udp                     UNCONN                   0                        0                                           192.168.122.1:53                                               0.0.0.0:*                                                
udp                     UNCONN                   0                        0                                          0.0.0.0%virbr0:67                                               0.0.0.0:*                                                
udp                     UNCONN                   0                        0                                                 0.0.0.0:111                                              0.0.0.0:*                                                
udp                     UNCONN                   0                        0                                                 0.0.0.0:5353                                             0.0.0.0:*                                                
udp                     UNCONN                   0                        0                                                    [::]:35945                                               [::]:*                                                
udp                     UNCONN                   0                        0                                                    [::]:111                                                 [::]:*                                                
udp                     UNCONN                   0                        0                                                    [::]:5353                                                [::]:*                                                
tcp                     LISTEN                   0                        128                                               0.0.0.0:111                                              0.0.0.0:*                                                
tcp                     LISTEN                   0                        32                                          192.168.122.1:53                                               0.0.0.0:*                                                
tcp                     LISTEN                   0                        128                                               0.0.0.0:22                                               0.0.0.0:*                                                
tcp                     LISTEN                   0                        5                                               127.0.0.1:631                                              0.0.0.0:*                                                
tcp                     LISTEN                   0                        128                                                  [::]:111                                                 [::]:*                                                
tcp                     LISTEN                   0                        128                                                  [::]:22                                                  [::]:*                                                
tcp                     LISTEN                   0                        5                                                   [::1]:631                                                 [::]:*                             
